"gene"	"gene_cor"	"DROSHA_p"	"gene_selected"	"genome_alignment"	"avg_pos"	"chromosome_name"
"MYOF"	"0.101106008737363"	2.39620114545917	"DROSHA"	"chr10"	93406180	10
"FOXRED2"	"0.101089636822228"	2.39555675845003	"DROSHA"	"chr22"	36505426.25	22
"AQP11"	"-0.101080678205266"	2.39520419160431	"DROSHA"	"chr11"	77590206	11
"NEK8"	"-0.101057865338821"	2.39430651136042	"DROSHA"	"chr17"	28736465	17
"PSMD2"	"0.100948523850788"	2.3900063714159	"DROSHA"	"chr3"	184303243.75	3
"OGT"	"0.102852023013495"	2.38922013779555	"DROSHA"	"chrX"	71551859	24
"RPAP2"	"0.100871503608605"	2.38697975119043	"DROSHA"	"chr1"	92307280.5	1
"WNT9B"	"-0.100851101451074"	2.3861783519313	"DROSHA"	"chr17"	46873917.75	17
"ASF1B"	"-0.101595824097121"	2.3857466440132	"DROSHA"	"chr19"	14130179	19
"CCDC22"	"0.102034288654995"	2.38534715936076	"DROSHA"	"chrX"	49238417.75	24
"PTGFR"	"-0.100790035487548"	2.38378050579669	"DROSHA"	"chr1"	78492961.75	1
"NKAP"	"0.101979121439599"	2.3832065670945	"DROSHA"	"chrX"	119943454	24
"MRPS18C"	"-0.100713581231837"	2.38078017451839	"DROSHA"	"chr4"	83456335.25	4
"GTF2H2C"	"-0.101467950077948"	2.3807643100765	"DROSHA"	"chr5"	69568260.5	5
"UPF2"	"0.100684194697382"	2.37962746489073	"DROSHA"	"chr10"	12012853.25	10
"DAB1"	"-0.100678781804769"	2.3794151714864	"DROSHA"	"chr1"	57093716.5	1
"AP4B1"	"-0.100620179090148"	2.37711740319202	"DROSHA"	"chr1"	113900418.75	1
"HELZ2"	"-0.101367894564809"	2.37686962418145	"DROSHA"	"chr20"	63565107.75	20
"ECSIT"	"-0.100578669248904"	2.37549052868528	"DROSHA"	"chr19"	11513440.25	19
"LGALSL"	"-0.100552927738052"	2.37448194402973	"DROSHA"	"chr2"	64455492.75	2
"MARS"	"0.100530704794293"	2.3736113995115	"DROSHA"	"chr12"	57492693.3333333	12
"THOC1"	"0.100498622119217"	2.3723549088308	"DROSHA"	"chr18"	262586.5	18
"DVL3"	"-0.100482298174344"	2.37171572755873	"DROSHA"	"chr3"	184165664	3
"PTPRN"	"-0.100375548608487"	2.36753803266519	"DROSHA"	"chr2"	219302073	2
"ESYT2"	"-0.100362510997477"	2.36702806070379	"DROSHA"	"chr7"	158804376	7
"FKBPL"	"-0.100324462776282"	2.36554011255633	"DROSHA"	"chr6"	32129531	6
"ROR1"	"-0.100323708486647"	2.36551061951693	"DROSHA"	"chr1"	63865202.5	1
"TAF7"	"0.101002598428933"	2.36267840009343	"DROSHA"	"chr5"	141319768.5	5
"MIPOL1"	"0.100235586580348"	2.36206632550673	"DROSHA"	"chr14"	37267436	14
"DCX"	"0.101419251748766"	2.36153884576389	"DROSHA"	"chrX"	111410202	24
"BYSL"	"0.100173244713887"	2.3596312267587	"DROSHA"	"chr6"	41927421.5	6
"KRT78"	"-0.100145720930977"	2.35855654998125	"DROSHA"	"chr12"	52848539.5	12
"ABTB1"	"-0.100131266440921"	2.35799227022327	"DROSHA"	"chr3"	127676612.5	3
"AGT"	"0.100082307399233"	2.35608150781126	"DROSHA"	"chr1"	230710531	1
"ADAM15"	"-0.100069131546944"	2.35556742044166	"DROSHA"	"chr1"	155053393.75	1
"GRIK4"	"0.0999631857394233"	2.35143580042061	"DROSHA"	"chr11"	120879206.25	11
"COLEC12"	"0.0999569174261929"	2.3511914695	"DROSHA"	"chr18"	413692.75	18
"HIST2H2AC"	"-0.0999423340478072"	2.35062307866403	"DROSHA"	"chr1"	149887068.5	1
"TRAF3"	"0.0999402954270641"	2.35054362856996	"DROSHA"	"chr14"	102871870	14
"MRPL9"	"-0.0999386854971451"	2.3504808865993	"DROSHA"	"chr1"	151762983.5	1
"TLR4"	"-0.0999365699354102"	2.35039844053081	"DROSHA"	"chr9"	117711932.25	9
"DLX3"	"-0.0999342131748015"	2.35030659640359	"DROSHA"	"chr17"	49994414.5	17
"NUF2"	"-0.0998643842111117"	2.34758616925156	"DROSHA"	"chr1"	163335314	1
"CT47B1"	"0.100986508320326"	2.34486125132688	"DROSHA"	"chrX"	120875443.375	24
"NUP133"	"-0.0997701520887597"	2.34391761578773	"DROSHA"	"chr1"	229503250	1
"USP39"	"-0.0997605458111271"	2.34354380013321	"DROSHA"	"chr2"	85621518.25	2
"HIST1H2AI"	"-0.0995553570394622"	2.33556650954704	"DROSHA"	"chr6"	27808320.25	6
"NEDD9"	"-0.099546221675673"	2.33521167352885	"DROSHA"	"chr6"	11213585.25	6
"TRIAP1"	"-0.0994970026981174"	2.33330038835816	"DROSHA"	"chr12"	120446311.25	12
"HFM1"	"-0.0994883388156801"	2.33296403376525	"DROSHA"	"chr1"	91371203	1
"UBA6"	"-0.0994771914557131"	2.33253130094333	"DROSHA"	"chr4"	67681375.75	4
"ISM1"	"0.0994729664754583"	2.33236730096783	"DROSHA"	"chr20"	13250733.25	20
"ZNF737"	"-0.0994500606974543"	2.33147827700005	"DROSHA"	"chr19"	20552296.875	19
"ATP5S"	"-0.0994436832828803"	2.33123078659372	"DROSHA"	"chr14"	50321775.25	14
"LY6G6D"	"-0.0994401327076709"	2.33109300414857	"DROSHA"	"chr6"	31716009	6
"NBL1"	"-0.0994378229778038"	2.33100337579619	"DROSHA"	"chr1"	19655202.25	1
"GTF2A1"	"0.100175502411913"	2.33070936240017	"DROSHA"	"chr14"	81196791.75	14
"NPTXR"	"-0.0994149062933579"	2.33011419745479	"DROSHA"	"chr22"	38839725	22
"MRPL37"	"-0.09939783823336"	2.32945206246624	"DROSHA"	"chr1"	54201620.75	1
"APOL3"	"0.0993969488579039"	2.32941756287427	"DROSHA"	"chr22"	36141661.25	22
"LCP1"	"0.0993636681997693"	2.32812676909519	"DROSHA"	"chr13"	46153932	13
"PLOD1"	"0.100105585849612"	2.32801725974838	"DROSHA"	"chr1"	11953406.25	1
"ABCB7"	"0.100524759306257"	2.32713321857799	"DROSHA"	"chrX"	75145365.5	24
"ZMYND8"	"0.100080559858279"	2.32705403720713	"DROSHA"	"chr20"	47292172.75	20
"CDSN"	"-0.0992900890045355"	2.32527430470972	"DROSHA"	"chr6"	31117152.25	6
"APOL6"	"0.0992742009630894"	2.32465860598366	"DROSHA"	"chr22"	35658254	22
"CDK11A"	"0.0992692718312379"	2.32446760773261	"DROSHA"	"chr1"	1715972.75	1
"ZNF85"	"-0.0999822922325525"	2.32327381864062	"DROSHA"	"chr19"	20934059.5	19
"CTAGE9"	"-0.0992223564282902"	2.32265009515203	"DROSHA"	"chr6"	131710435.142857	6
"CYP24A1"	"-0.0992055075149397"	2.32199754398686	"DROSHA"	"chr20"	54171418.75	20
"ZNF428"	"-0.0991959013646302"	2.32162554432442	"DROSHA"	"chr19"	43607990.6666667	19
"WDR24"	"0.0991573436688888"	2.32013270144498	"DROSHA"	"chr16"	688734	16
"DCC"	"0.0991367245292191"	2.31933459136066	"DROSHA"	"chr18"	53030365	18
"SLFN14"	"0.0991191251894715"	2.31865348163574	"DROSHA"	"chr17"	35556335.75	17
"TENT4B"	"-0.099106801784693"	2.31817661669703	"DROSHA"	"chr16"	50169528	16
"SCN3A"	"-0.0990371874712294"	2.31548378150428	"DROSHA"	"chr2"	165151567.25	2
"PMEL"	"-0.0990216478561851"	2.31488289567028	"DROSHA"	"chr12"	55958011.5	12
"CASP10"	"-0.0990014731425107"	2.31410290003662	"DROSHA"	"chr2"	201187757.5	2
"CHSY1"	"-0.0989660164856762"	2.31273240229814	"DROSHA"	"chr15"	101243351.25	15
"MTRNR2L8"	"0.0989649027091091"	2.31268935855099	"DROSHA"	"chr11"	10508208	11
"MYH10"	"0.0989281861000865"	2.31127061583117	"DROSHA"	"chr17"	8548421	17
"CCDC73"	"0.0988574742131474"	2.30853955056263	"DROSHA"	"chr11"	32668853.5	11
"OPA1"	"-0.0988572169079222"	2.30852961585368	"DROSHA"	"chr3"	193623182	3
"KRT85"	"-0.0987755581465994"	2.30537783763013	"DROSHA"	"chr12"	52366347.6	12
"OR2W3"	"0.098707970776068"	2.30277085401356	"DROSHA"	"chr1"	247895729	1
"E2F8"	"-0.0994388074099327"	2.30242406517326	"DROSHA"	"chr11"	19237224	11
"KTI12"	"-0.0994165550139842"	2.30157246387908	"DROSHA"	"chr1"	52033557.75	1
"NLRC4"	"-0.098651407953245"	2.30059028063596	"DROSHA"	"chr2"	32251427.25	2
"SOGA1"	"0.0986500563516176"	2.30053818761383	"DROSHA"	"chr20"	36819410.5	20
"GUCY1A2"	"0.0986161812015691"	2.2992327807337	"DROSHA"	"chr11"	106970954	11
"ISG20L2"	"0.0985588310220795"	2.29702361633608	"DROSHA"	"chr1"	156727398	1
"MRPS30"	"0.0985233005390014"	2.29565551022304	"DROSHA"	"chr5"	44809149.5	5
"VAMP2"	"0.0985006581381029"	2.29478388101759	"DROSHA"	"chr17"	8162171.75	17
"ZFP69B"	"-0.0984085978098061"	2.29124173795497	"DROSHA"	"chr1"	40455263.2	1
"NLRC5"	"0.0983843432644802"	2.29030898233879	"DROSHA"	"chr16"	57027878.25	16
"KARS"	"0.0983645407478111"	2.28954758350431	"DROSHA"	"chr16"	75639839.5	16
"CEP350"	"0.0982589303029455"	2.28548911107221	"DROSHA"	"chr1"	180010660.75	1
"TNRC6A"	"0.0982295274335682"	2.28435985832184	"DROSHA"	"chr16"	24780435.25	16
"FBXL20"	"0.0981699926082483"	2.28207423343134	"DROSHA"	"chr17"	39296769	17
"DLGAP1"	"0.0981315397256851"	2.2805986013359	"DROSHA"	"chr18"	3774953.5	18
"ZFAT"	"0.0980911087693834"	2.27904759174511	"DROSHA"	"chr8"	134611012.75	8
"FLI1"	"0.0980458058750509"	2.27731033207957	"DROSHA"	"chr11"	128808860.25	11
"MINDY3"	"0.0980217960754819"	2.27638988977343	"DROSHA"	"chr10"	15846037	10
"RNF130"	"-0.0980051007233964"	2.27574996809998	"DROSHA"	"chr5"	180049217	5
"C9orf50"	"-0.0979310894830172"	2.27291428468792	"DROSHA"	"chr9"	129620014.75	9
"TRPV6"	"-0.0979268592630051"	2.27275226219297	"DROSHA"	"chr7"	142877259.25	7
"S100A3"	"-0.0979102597809382"	2.27211653971136	"DROSHA"	"chr1"	153548412.75	1
"AKR1A1"	"-0.097906660508367"	2.27197870784711	"DROSHA"	"chr1"	45567133.75	1
"ADPRHL2"	"-0.0978849849842091"	2.2711487485875	"DROSHA"	"chr1"	36090279	1
"THAP1"	"-0.0978691673952619"	2.27054318933526	"DROSHA"	"chr8"	42843062.25	8
"PCM1"	"0.0978410244537205"	2.26946597328868	"DROSHA"	"chr8"	17950656	8
"MXRA5"	"0.0989832264969727"	2.26845215633923	"DROSHA"	"chrX"	3327022.5	24
"ENO1"	"-0.0985388624561852"	2.26811281058385	"DROSHA"	"chr1"	8870928	1
"DDAH1"	"-0.0977767281044318"	2.26700591725701	"DROSHA"	"chr1"	85350757.75	1
"BCL2L15"	"-0.0977626532671854"	2.26646758059556	"DROSHA"	"chr1"	113886949.25	1
"PCF11"	"0.0984397529872222"	2.26435042078701	"DROSHA"	"chr11"	83165589	11
"MRPL40"	"-0.0976487412190143"	2.26211308075527	"DROSHA"	"chr22"	19433919.5	22
"INTS5"	"0.0975350123096598"	2.25776989036712	"DROSHA"	"chr11"	62649485.25	11
"NUDT2"	"0.0975306435532028"	2.25760313789318	"DROSHA"	"chr9"	34342138	9
"ATAD3B"	"-0.0975061371048186"	2.25666786110427	"DROSHA"	"chr1"	1474524.5	1
"ARNT"	"-0.097495930879266"	2.25627840437401	"DROSHA"	"chr1"	150843554	1
"PLA2G12B"	"-0.0974624674517734"	2.25500172520493	"DROSHA"	"chr10"	72951622.75	10
"PTGES2"	"-0.097448808343799"	2.25448071715399	"DROSHA"	"chr9"	128127004	9
"RNF185"	"0.0974287838563257"	2.25371702259464	"DROSHA"	"chr22"	31187172.75	22
"SNX1"	"-0.0973774901405213"	2.25176138975097	"DROSHA"	"chr15"	64112354.75	15
"ASB6"	"-0.0973539183921564"	2.25086298286404	"DROSHA"	"chr9"	129641612	9
"GTF3C6"	"-0.0980814585700127"	2.25077574181829	"DROSHA"	"chr6"	110960449.25	6
"KRTAP12-4"	"0.0973439752774312"	2.25048406926049	"DROSHA"	"chr21"	44654543.5	21
"SERPINB6"	"-0.0973187381018595"	2.24952247513368	"DROSHA"	"chr6"	2954987.75	6
"CSF2RA"	"0.0984794537575934"	2.2494428998613	"DROSHA"	"chrX"	1285790.25	24
"PLXNB2"	"0.0973030348291346"	2.24892425145125	"DROSHA"	"chr22"	50289243.75	22
"TAGLN3"	"-0.0973003865015359"	2.24882337022885	"DROSHA"	"chr3"	111999483.25	3
"MYH6"	"0.0972934235409874"	2.24855814530216	"DROSHA"	"chr14"	23399476	14
"HKDC1"	"-0.0972361856736404"	2.2463785187642	"DROSHA"	"chr10"	69238463.75	10
"MYOZ3"	"0.0971985848064214"	2.24494726518428	"DROSHA"	"chr5"	150671760.75	5
"TAF1A"	"-0.0978603728102521"	2.2424204800332	"DROSHA"	"chr1"	222571855	1
"LPO"	"-0.0970820317071439"	2.24051373181686	"DROSHA"	"chr17"	58251516.5	17
"RBM17"	"0.0970711431236266"	2.24009977451889	"DROSHA"	"chr10"	6105327.75	10
"BCAN"	"-0.0970141238046954"	2.23793268330562	"DROSHA"	"chr1"	156647202.5	1
"PECR"	"-0.0970011279591472"	2.23743891105556	"DROSHA"	"chr2"	216065635.25	2
"COBLL1"	"-0.0969874782138101"	2.23692035459187	"DROSHA"	"chr2"	164713971	2
"PTGES3L"	"-0.0969158822789525"	2.23420142573083	"DROSHA"	"chr17"	42979946.8	17
"OR4F21"	"0.0969041833212805"	2.23375730782261	"DROSHA"	"chr8"	166795.4	8
"NGF"	"-0.0968951508460155"	2.23341444651716	"DROSHA"	"chr1"	115286523.25	1
"SOS2"	"-0.0968438214079876"	2.23146656110961	"DROSHA"	"chr14"	50196013.25	14
"MAP3K6"	"-0.0968428393719367"	2.23142930265679	"DROSHA"	"chr1"	27366285	1
"MLLT1"	"0.0975653507948825"	2.23129597440147	"DROSHA"	"chr19"	6238635.75	19
"HSPA4"	"-0.0968101443918224"	2.23018903793099	"DROSHA"	"chr5"	133078247.5	5
"HBQ1"	"0.0967093494404478"	2.22636767703543	"DROSHA"	"chr16"	180686.5	16
"PIAS4"	"0.0967062987452889"	2.22625207103492	"DROSHA"	"chr19"	4017064.5	19
"RASSF4"	"0.0967017266894306"	2.22607881890761	"DROSHA"	"chr10"	44980463.75	10
"KREMEN2"	"-0.0966666504758064"	2.22474988234988	"DROSHA"	"chr16"	2965843.25	16
"FAM208A"	"-0.0966620791575426"	2.22457671839936	"DROSHA"	"chr3"	56643401.75	3
"GFOD1"	"-0.0966576697834019"	2.22440969555687	"DROSHA"	"chr6"	13486803.5	6
"ADCY2"	"0.0965260520587165"	2.21942711730477	"DROSHA"	"chr5"	7614516.75	5
"FGF20"	"0.0964784847912507"	2.21762780580899	"DROSHA"	"chr8"	17001863.75	8
"YARS2"	"-0.0971841107630515"	2.2169626406491	"DROSHA"	"chr12"	32755424	12
"EBF1"	"0.0964412195776763"	2.21621871180397	"DROSHA"	"chr5"	159033969.75	5
"TLL1"	"-0.0964339031422598"	2.21594211265016	"DROSHA"	"chr4"	165932546.5	4
"MATN1"	"-0.0964322049825742"	2.21587791596086	"DROSHA"	"chr1"	30720156	1
"DIDO1"	"0.097143307455176"	2.21543139384526	"DROSHA"	"chr20"	62911171	20
"DAXX"	"0.0971395581441939"	2.21529071885708	"DROSHA"	"chr6"	33321216	6
"MYL12B"	"0.0963950375187649"	2.21447308886432	"DROSHA"	"chr18"	3274414	18
"PCDHA10"	"0.09638483713372"	2.21408762282621	"DROSHA"	"chr5"	140856382.75	5
"WWP2"	"0.0963811275187026"	2.2139474474122	"DROSHA"	"chr16"	69819913.5	16
"MYH7"	"-0.0963202149794805"	2.21164639579661	"DROSHA"	"chr14"	23428358.75	14
"BORCS6"	"0.0962932469887897"	2.21062803785729	"DROSHA"	"chr17"	8189847.25	17
"ITGA2"	"0.0962717693171014"	2.209817176614	"DROSHA"	"chr5"	53056673	5
"AAMP"	"0.0961914841641814"	2.20678747269676	"DROSHA"	"chr2"	218269415	2
"MZT2B"	"-0.0961603864213892"	2.20561451874604	"DROSHA"	"chr2"	130182446	2
"ATP5ME"	"-0.0961540579815075"	2.20537586007748	"DROSHA"	"chr4"	674004.5	4
"ERICH6"	"-0.0960877084403415"	2.20287448091027	"DROSHA"	"chr3"	150699197.25	3
"TRPC7"	"-0.0960802111246923"	2.20259192384149	"DROSHA"	"chr5"	136356851.25	5
"GRHL2"	"-0.0960698142958648"	2.20220012148029	"DROSHA"	"chr8"	101554818.25	8
"STAG3"	"-0.0960692984731621"	2.20218068374183	"DROSHA"	"chr7"	100183271.25	7
"REEP2"	"-0.0960599112153599"	2.2018269592889	"DROSHA"	"chr5"	138443779.5	5
"KRT222"	"-0.0960544891529645"	2.20162266203911	"DROSHA"	"chr17"	40661040.75	17
"SULT1C4"	"-0.096053793882924"	2.20159646574712	"DROSHA"	"chr2"	108379446	2
"BBS10"	"-0.0960217752935112"	2.20039024743846	"DROSHA"	"chr12"	76347832	12
"IL7R"	"0.0959997319374393"	2.19956001825866	"DROSHA"	"chr5"	35868232.75	5
"MRPL18"	"-0.095995716977751"	2.1994088183257	"DROSHA"	"chr6"	159791072	6
"USP22"	"0.0966947961493675"	2.19863579055448	"DROSHA"	"chr17"	21025772.75	17
"SATB2"	"-0.0966653416272977"	2.1975350969241	"DROSHA"	"chr2"	199399403.75	2
"CERS3"	"0.0958921098161264"	2.19550891192805	"DROSHA"	"chr15"	100491899.5	15
"MRPS10"	"-0.0958818303286857"	2.19512217309445	"DROSHA"	"chr6"	42215425	6
"POLA1"	"0.0970001861463974"	2.19410102496076	"DROSHA"	"chrX"	24724168.5	24
"SCAP"	"-0.0958466020160518"	2.19379706594416	"DROSHA"	"chr3"	47427575.25	3
"KRT5"	"-0.0958187094026389"	2.19274818200499	"DROSHA"	"chr12"	52519688.5	12
"COIL"	"0.0958167831596958"	2.19267575639668	"DROSHA"	"chr17"	56958323.75	17
"INSL5"	"-0.0958009328694085"	2.19207984149389	"DROSHA"	"chr1"	66801136	1
"SYNPO"	"-0.0957317817984962"	2.18948098067905	"DROSHA"	"chr5"	150648744.75	5
"DNAJB7"	"0.0957021984297672"	2.18836965221792	"DROSHA"	"chr22"	40861833.5	22
"DNHD1"	"0.0956853369024681"	2.18773636218897	"DROSHA"	"chr11"	6499648	11
"OR56A3"	"0.0956436796118982"	2.18617219016252	"DROSHA"	"chr11"	5947479	11
"MED26"	"0.0963473083313355"	2.18566849879626	"DROSHA"	"chr19"	16590179.25	19
"KRT37"	"-0.0956065608069598"	2.18477891677286	"DROSHA"	"chr17"	41423954.75	17
"TUBA3D"	"-0.0955971748112647"	2.18442668099669	"DROSHA"	"chr2"	131479372.5	2
"PIAS3"	"-0.0955958779007495"	2.18437801309491	"DROSHA"	"chr1"	145856206.75	1
"ADIPOR1"	"0.0955932097244029"	2.18427788878606	"DROSHA"	"chr1"	202949870.75	1
"MRPL51"	"-0.0955929466820724"	2.18426801815273	"DROSHA"	"chr12"	6493028	12
"BET1L"	"0.0955841716836115"	2.18393875049238	"DROSHA"	"chr11"	205736.25	11
"TRIM56"	"-0.0955578457783796"	2.18295106660773	"DROSHA"	"chr7"	101087900	7
"MTM1"	"-0.096684623979617"	2.18238719694281	"DROSHA"	"chrX"	150612382	24
"ZNF594"	"-0.0955326937453434"	2.18200763825504	"DROSHA"	"chr17"	5183858.5	17
"COG4"	"0.0955057819528305"	2.18099843536225	"DROSHA"	"chr16"	70512016.75	16
"COA7"	"-0.0954846514887751"	2.1802062029016	"DROSHA"	"chr1"	52694339	1
"BMI1"	"0.0961762934822404"	2.17930118868523	"DROSHA"	"chr10"	22327619.5	10
"ECM1"	"-0.0954600011678877"	2.17928218956193	"DROSHA"	"chr1"	150510153.5	1
"VMAC"	"-0.0953794215601538"	2.17626308163859	"DROSHA"	"chr19"	5904944.5	19
"ZNF541"	"-0.0953718401663621"	2.17597913737314	"DROSHA"	"chr19"	47545035.25	19
"ZNF749"	"-0.095354958090037"	2.17534692516271	"DROSHA"	"chr19"	57441097.5	19
"KCNE2"	"-0.0953373138924392"	2.17468627346537	"DROSHA"	"chr21"	34370556	21
"DERL3"	"-0.0953081334775481"	2.17359389766582	"DROSHA"	"chr22"	23838661.75	22
"ASCL2"	"0.0952938314323283"	2.17305860026744	"DROSHA"	"chr11"	2270217.5	11
"PSG4"	"-0.0952733466835057"	2.17229201455491	"DROSHA"	"chr19"	43204343.75	19
"SIGLEC6"	"-0.0952238330382706"	2.17043967619755	"DROSHA"	"chr19"	51531289.6666667	19
"UNC5D"	"0.095108256004787"	2.16611902466415	"DROSHA"	"chr8"	35638727.5	8
"MFSD3"	"-0.0951026837543521"	2.16591082738713	"DROSHA"	"chr8"	144509680.75	8
"ACOT1"	"0.0950994498155242"	2.16579000170418	"DROSHA"	"chr14"	73537554	14
"ATP1B3"	"0.0950417095620434"	2.16363330688068	"DROSHA"	"chr3"	141884452	3
"GABRA1"	"-0.0950286597180378"	2.16314602648323	"DROSHA"	"chr5"	161874429.5	5
"KIF13A"	"-0.0950083255407126"	2.1623868619762	"DROSHA"	"chr6"	17987266.75	6
"KIAA1551"	"-0.095008132869198"	2.16237966935414	"DROSHA"	"chr12"	31982130.5	12
"RAB12"	"0.0950058777595909"	2.16229548475137	"DROSHA"	"chr18"	8621551.25	18
"NFYB"	"0.0957083437767747"	2.16192710064305	"DROSHA"	"chr12"	104127867.5	12
"C10orf88"	"0.0949945830002282"	2.16187386992049	"DROSHA"	"chr10"	122948458	10
"RARRES1"	"0.0949939211101483"	2.1618491639611	"DROSHA"	"chr3"	158723015.5	3
"KLK7"	"0.0949673200676579"	2.16085636352928	"DROSHA"	"chr19"	50980316	19
"BROX"	"0.0949634337043419"	2.16071133684225	"DROSHA"	"chr1"	222719880.25	1
"CUBN"	"-0.0949513016637505"	2.16025863996301	"DROSHA"	"chr10"	17071173	10
"ABCA4"	"-0.0949469378935345"	2.1600958214758	"DROSHA"	"chr1"	94086200.75	1
"GJA3"	"-0.0949425516356959"	2.15993217030082	"DROSHA"	"chr13"	20143106.25	13
"MED21"	"0.0956464272480579"	2.15963361459134	"DROSHA"	"chr12"	27026475.25	12
"DEFB121"	"0.0949231756378586"	2.15920932855048	"DROSHA"	"chr20"	31406112.25	20
"SLC39A13"	"0.0949158378675609"	2.15893561786704	"DROSHA"	"chr11"	47410269	11
"COMMD7"	"0.0949135696664188"	2.15885101390999	"DROSHA"	"chr20"	32722676	20
"TSHB"	"-0.0948272232044603"	2.15563155612314	"DROSHA"	"chr1"	115033621.75	1
"WDR59"	"0.0948177275588789"	2.15527765841065	"DROSHA"	"chr16"	74927094.5	16
"CRISP3"	"0.0948021127473008"	2.1546957675366	"DROSHA"	"chr6"	49737968	6
"C6orf58"	"0.0947983257791774"	2.15455465714379	"DROSHA"	"chr6"	127577707.75	6
"TADA1"	"0.0954990998706175"	2.15418140802545	"DROSHA"	"chr1"	166868044.5	1
"TMEM150A"	"0.09477658356185"	2.15374458834106	"DROSHA"	"chr2"	85599935.6666667	2
"ULK3"	"0.0947744527967156"	2.1536652089849	"DROSHA"	"chr15"	74841441	15
"NECAP2"	"0.0946810742325763"	2.15018796811964	"DROSHA"	"chr1"	16446910.75	1
"CPT1B"	"0.0946728377467796"	2.14988139556883	"DROSHA"	"chr22"	50577292	22
"LRRC47"	"-0.0946711514005712"	2.14981863037354	"DROSHA"	"chr1"	3795968.75	1
"CENPJ"	"0.0946392966590009"	2.14863318532081	"DROSHA"	"chr13"	24909048.25	13
"SLIT3"	"-0.0946044998190084"	2.1473386367372	"DROSHA"	"chr5"	169056225.25	5
"SPRYD3"	"-0.0945802049908988"	2.14643503269223	"DROSHA"	"chr12"	53076121.25	12
"CMTM2"	"0.0945686256383596"	2.14600442749934	"DROSHA"	"chr16"	66579719.4	16
"POLR3H"	"-0.0952635187077168"	2.14547787774105	"DROSHA"	"chr22"	41539397	22
"GPR135"	"0.0945192844011139"	2.1441700562484	"DROSHA"	"chr14"	59464899.25	14
"HIGD1B"	"-0.094508080162381"	2.14375362581015	"DROSHA"	"chr17"	44848199.6666667	17
"STK17B"	"-0.0944975286026676"	2.14336149163454	"DROSHA"	"chr2"	196157285.5	2
"APLNR"	"-0.0944558157205253"	2.14181165068788	"DROSHA"	"chr11"	57236613	11
"PTPN5"	"0.0944518063741218"	2.14166271387667	"DROSHA"	"chr11"	18749080.75	11
"STAG1"	"0.0944383633535991"	2.14116337938902	"DROSHA"	"chr3"	136531527.75	3
"OR10H1"	"-0.0944239284553224"	2.14062726868137	"DROSHA"	"chr19"	15807819.75	19
"MAGI2"	"0.0943979181480421"	2.13966142251458	"DROSHA"	"chr7"	79042459.25	7
"TMEM155"	"0.0943308052854679"	2.13717034081173	"DROSHA"	"chr4"	121761754.25	4
"MARK3"	"0.0943112160099077"	2.13644351107251	"DROSHA"	"chr14"	103435599.5	14
"RPS14"	"0.0943049097683699"	2.13620955476486	"DROSHA"	"chr5"	150447309.5	5
"C20orf202"	"0.0942850319473611"	2.13547219028244	"DROSHA"	"chr20"	1204406.75	20
"MINDY2"	"-0.0942629823406771"	2.13465441672822	"DROSHA"	"chr15"	58771836.25	15
"ID1"	"0.0942462345849936"	2.13403338518338	"DROSHA"	"chr20"	31605493.75	20
"SUGP2"	"-0.0941821127002487"	2.13165650876058	"DROSHA"	"chr19"	19025365	19
"RNF212B"	"0.0941767197759858"	2.13145666532314	"DROSHA"	"chr14"	23249504.25	14
"PDCD1LG2"	"0.0941467095357497"	2.13034476360457	"DROSHA"	"chr9"	5535409.25	9
"EVPLL"	"-0.094128601792468"	2.12967400237627	"DROSHA"	"chr17"	18381660	17
"VXN"	"0.0941220157182737"	2.12943006275188	"DROSHA"	"chr8"	66502532.75	8
"RPL38"	"-0.094099526364093"	2.12859719447122	"DROSHA"	"chr17"	74204163.25	17
"TMEM254"	"-0.0939761090717813"	2.12402955020818	"DROSHA"	"chr10"	80078730.25	10
"PPP6R2"	"0.0939570638987985"	2.12332514163699	"DROSHA"	"chr22"	50413038.75	22
"OR52W1"	"0.0938869680905951"	2.12073359726554	"DROSHA"	"chr11"	6199406.25	11
"WNT3"	"-0.0938812742625569"	2.12052315948078	"DROSHA"	"chr17"	46770916.5	17
"TTC37"	"0.0938667214157943"	2.11998535056939	"DROSHA"	"chr5"	95536266.25	5
"TECTA"	"0.0938525045196597"	2.11946002453176	"DROSHA"	"chr11"	121118469	11
"RASL10A"	"-0.093851105326013"	2.11940832678492	"DROSHA"	"chr22"	29314835.5	22
"TFIP11"	"0.0938436064967361"	2.11913126925005	"DROSHA"	"chr22"	26501514	22
"BPIFB1"	"0.0938420908646557"	2.11907527379603	"DROSHA"	"chr20"	33292433	20
"TAF4"	"0.0945447125314758"	2.11903351642579	"DROSHA"	"chr20"	62064961.25	20
"FCRL5"	"-0.0938255654072999"	2.11846478540917	"DROSHA"	"chr1"	157541468.75	1
"DCAF12L2"	"0.0949279341952859"	2.11776730829434	"DROSHA"	"chrX"	126165655.75	24
"ACVR1B"	"-0.0937653969785186"	2.1162427881741	"DROSHA"	"chr12"	51978249	12
"SET"	"-0.0944279894596569"	2.11475525439593	"DROSHA"	"chr9"	128691170.75	9
"HSD17B3"	"-0.0937246076858283"	2.11473713579505	"DROSHA"	"chr9"	96277087.75	9
"WBP1L"	"-0.0937102382822894"	2.11420684999204	"DROSHA"	"chr10"	102802263.75	10
